,question,answer,doc num,sentences num,answer sentence
0,What century did the Normans first gain their separate identity?,10th century,2,2,"The distinct cultural and ethnic identity of the Normans emerged initially in the first half of the 10th century, and it continued to evolve over the succeeding centuries."
1,Of what venue was Chopin an often invited guest?,Paris salons,0,0,n/a
2,Who did Rolpe Dorje send as envoys to court in Nanjing?,disciples,0,0,n/a
3,What generation saw iPod batterys being affixed with glue?,Fifth generation,0,0,n/a
4,What is a game whose enemies have more rudimentary programming than those in Twilight Princess?,The Wind Waker,0,0,n/a
5,What was the theme song for the James Bond film Spectre?,Writing's on the Wall,0,0,n/a
6,Who disregarded warnings about dams in the area?,The government,0,0,n/a
7,What individual established the National Review?,"William F. Buckley, Jr.",0,0,n/a
8,What book compiled Adults'  impressions and their impressions as children about the novel?,"Scout, Atticus, and Boo",0,0,n/a
9,In what year did solar engine build his solar engine?,1897,0,0,n/a
10,How many total CDs has Kanye West released in his career so far?,7,0,0,n/a
11,"In the Mahayana, who is thought to be an omnipresent being?",Buddha,0,0,n/a
12,"What were Fantasia Barrino, LaToya London and Jennifer Hudson called?",the Three Divas,0,0,n/a
13,Dogs show an extreme range in what two characteristics?,height and weight.,0,0,n/a
14,What method did the Chinese government use to ease the boycott situation?,censorship,0,0,n/a
15,What are the constituents of Class 1 transposable elements?,retrotransposons,0,0,n/a
16,What kind of school did Thatcher end the compulsion for existing schools to convert to?,comprehensive,0,0,n/a
17,On what date was Ngouabi assassinated?,"March 16, 1977",0,0,n/a
18,What is the term for prime minister in Pakistan?,Wazir-e-Azam,0,0,n/a
19,What year was Suranaree University of Technology founded?,1989,0,0,n/a
20,What file is utilized to exercise the rights promoted by the Robots Exclusion Standard?,Robots.txt,0,0,n/a
21,Who were always chosen as stadtholders of most of the provinces?,"the princes of Orange of the House of Orange-Nassau, beginning with William the Silent",0,0,n/a
22,Name a parasitic ectosymbiont.,lice,0,0,n/a
23,What orders fall under the royal prerogative?,troop deployment and disposition orders,0,0,n/a
24,The entire group of cardinals is known as what?,College of Cardinals,0,0,n/a
25,How many different Iranian languages exist?,86,0,0,n/a
26,What type of light would be used illuminate the entrance to a property?,Entry lights,0,0,n/a
27,Under what basis did Richard Nixon assert an expansion of the power of the President?,national security,0,0,n/a
28,What kind of movement was modern architecture in the beginning?,avant-garde movement,0,0,n/a
29,"In the IHDI, inequality is factored into what three human development dimensions?","income, life expectancy, and education",0,0,n/a
30,The encounter with Arabic knowledge put Renaissance thinkers back in touch with the teachings of which ancient civilizations?,Greek and Roman,2,1,"Following a renewed interest in ancient Greek and Roman texts that took root in the High Middle Ages, the Italian Renaissance began."
31,When did the BBC start exploring the use of internet streaming?,2008,0,0,n/a
32,In what year did Schwarzenegger and Maria Shriver separate?,2011,0,0,n/a
33,What is Dawn French's job?,comedian,0,0,n/a
34,What is said to be a special spiritual problem?,Jewish circumcision,0,0,n/a
